Designer,Category,Age,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
rebecca taylor,Contemporary,17,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
see by chloe,Contemporary,17,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tory burch,Contemporary,17,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
valentino red,Contemporary,17,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lafayette 148 new york,Contemporary,17,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
komarov,Contemporary,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ghurka,Contemporary,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loeffler randall,Contemporary,17,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
sigerson morrison,Contemporary,17,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
alexander mcqueen,Luxury,17,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
giorgio armani,Luxury,17,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loro piana,Luxury,17,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
versace,Luxury,17,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
calvin klein collection,Premium,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
escada,Premium,17,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
prada linea rossa,Premium,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stella mccartney,Premium,17,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
temperley london,Premium,17,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
marchesa,Premium,17,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
barbara bui,Premium,17,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
